epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,583.087,0.46548,0.42809,0.98482,0.9851,1,0.995,0.93888,0.43212,0.30664,0.98434,0.00026422,0.00026422,0.00026422
87,591.196,0.47459,0.46935,1.00234,0.98416,1,0.995,0.90157,0.44362,0.29221,1.04068,0.000247716,0.000247716,0.000247716
88,597.703,0.45639,0.43055,0.97741,0.98416,1,0.995,0.90157,0.44362,0.29221,1.04068,0.000231213,0.000231213,0.000231213
89,605.112,0.4612,0.50703,1.01846,0.98323,1,0.995,0.92372,0.42839,0.29664,1.02208,0.00021471,0.00021471,0.00021471
90,611.734,0.46626,0.40768,0.98112,0.98323,1,0.995,0.92372,0.42839,0.29664,1.02208,0.000198206,0.000198206,0.000198206
91,618.081,0.3773,0.51254,0.93171,0.98086,1,0.995,0.93853,0.39754,0.309,0.96547,0.000181703,0.000181703,0.000181703
92,625.295,0.38752,0.50748,0.90442,0.98086,1,0.995,0.93853,0.39754,0.309,0.96547,0.0001652,0.0001652,0.0001652
93,632.033,0.41637,0.46111,0.95335,0.98014,1,0.995,0.93892,0.37829,0.28923,0.94655,0.000148696,0.000148696,0.000148696
94,639.875,0.44088,0.53986,1.01886,0.98014,1,0.995,0.93892,0.37829,0.28923,0.94655,0.000132193,0.000132193,0.000132193
95,647.616,0.32836,0.37516,0.8492,0.98161,1,0.995,0.93857,0.37401,0.28327,0.94329,0.00011569,0.00011569,0.00011569
96,654.193,0.34582,0.38521,0.89161,0.98161,1,0.995,0.93857,0.37401,0.28327,0.94329,9.91865e-05,9.91865e-05,9.91865e-05
97,661.276,0.37227,0.42184,0.90419,0.9838,1,0.995,0.93307,0.3778,0.28706,0.94104,8.26832e-05,8.26832e-05,8.26832e-05
98,667.816,0.32323,0.36684,0.94198,0.9838,1,0.995,0.93307,0.3778,0.28706,0.94104,6.61799e-05,6.61799e-05,6.61799e-05
99,675.045,0.33514,0.36373,0.89967,0.98454,1,0.995,0.9331,0.38024,0.2938,0.94086,4.96766e-05,4.96766e-05,4.96766e-05
100,681.599,0.38504,0.37435,0.94133,0.98454,1,0.995,0.9331,0.38024,0.2938,0.94086,3.31733e-05,3.31733e-05,3.31733e-05
